Approved symbol	NCBI Gene ID	Approved name
IGHV3-57	28418	immunoglobulin heavy variable 3-57 (pseudogene)
IGHV3-60	28417	immunoglobulin heavy variable 3-60 (pseudogene)
IGHV3-62	28416	immunoglobulin heavy variable 3-62 (pseudogene)
IGHV3-63	28415	immunoglobulin heavy variable 3-63 (pseudogene)
IGHV3-64	28414	immunoglobulin heavy variable 3-64
IGHV3-64D	102723170	immunoglobulin heavy variable 3-64D
IGHV3-65	28413	immunoglobulin heavy variable 3-65 (pseudogene)
IGHV3-66	28412	immunoglobulin heavy variable 3-66
IGHV3-69-1	28402	immunoglobulin heavy variable 3-69-1 (pseudogene)
IGHV3-71	28411	immunoglobulin heavy variable 3-71 (pseudogene)
IGHV3-72	28410	immunoglobulin heavy variable 3-72
IGHV3-73	28409	immunoglobulin heavy variable 3-73
IGHV3-74	28408	immunoglobulin heavy variable 3-74
IGHV3-75	28407	immunoglobulin heavy variable 3-75 (pseudogene)
IGHV3-76	28406	immunoglobulin heavy variable 3-76 (pseudogene)
IGHV3-79	28405	immunoglobulin heavy variable 3-79 (pseudogene)
IGHV3OR15-7	28318	immunoglobulin heavy variable 3/OR15-7 (pseudogene)
IGHV3OR16-6	647187	immunoglobulin heavy variable 3/OR16-6 (pseudogene)
IGHV3OR16-7	28309	immunoglobulin heavy variable 3/OR16-7 (pseudogene)
IGHV3OR16-8	388255	immunoglobulin heavy variable 3/OR16-8 (non-functional)
IGHV3OR16-9	28307	immunoglobulin heavy variable 3/OR16-9 (non-functional)
IGHV3OR16-10	28306	immunoglobulin heavy variable 3/OR16-10 (non-functional)
IGHV3OR16-11	28305	immunoglobulin heavy variable 3/OR16-11 (pseudogene)
IGHV3OR16-12	28304	immunoglobulin heavy variable 3/OR16-12 (non-functional)
IGHV3OR16-13	100287372	immunoglobulin heavy variable 3/OR16-13 (non-functional)
IGHV3OR16-14	100568447	immunoglobulin heavy variable 3/OR16-14 (pseudogene)
IGHV3OR16-15	28301	immunoglobulin heavy variable 3/OR16-15 (pseudogene)
IGHV3OR16-16	28300	immunoglobulin heavy variable 3/OR16-16 (pseudogene)
IGHV4-4	28401	immunoglobulin heavy variable 4-4
IGHV4-28	28400	immunoglobulin heavy variable 4-28
IGHV4-30-1	28399	immunoglobulin heavy variable 4-30-1
IGHV4-30-2	28398	immunoglobulin heavy variable 4-30-2
IGHV4-30-4	28397	immunoglobulin heavy variable 4-30-4
IGHV4-31	28396	immunoglobulin heavy variable 4-31
IGHV4-34	28395	immunoglobulin heavy variable 4-34
IGHV4-38-2	28389	immunoglobulin heavy variable 4-38-2
IGHV4-39	28394	immunoglobulin heavy variable 4-39
IGHV4-55	28393	immunoglobulin heavy variable 4-55 (pseudogene)
IGHV4-59	28392	immunoglobulin heavy variable 4-59
IGHV4-61	28391	immunoglobulin heavy variable 4-61
IGHV4-80	28390	immunoglobulin heavy variable 4-80 (pseudogene)
IGHV4OR15-8	28317	immunoglobulin heavy variable 4/OR15-8 (non-functional)
IGHV5-10-1	28386	immunoglobulin heavy variable 5-10-1
IGHV5-51	28388	immunoglobulin heavy variable 5-51
IGHV5-78	28387	immunoglobulin heavy variable 5-78 (pseudogene)
IGHV6-1	28385	immunoglobulin heavy variable 6-1
IGHV7-4-1	57289	immunoglobulin heavy variable 7-4-1
IGHV7-27	28383	immunoglobulin heavy variable 7-27 (pseudogene)
IGHV7-34-1	28382	immunoglobulin heavy variable 7-34-1 (pseudogene)
IGHV7-40	28381	immunoglobulin heavy variable 7-40 (pseudogene)
IGHV7-56	28380	immunoglobulin heavy variable 7-56 (pseudogene)
IGHV7-81	28378	immunoglobulin heavy variable 7-81 (non-functional)
IGHVII-1-1	28377	immunoglobulin heavy variable (II)-1-1 (pseudogene)
IGHVII-15-1	28376	immunoglobulin heavy variable (II)-15-1 (pseudogene)
IGHVII-20-1	28375	immunoglobulin heavy variable (II)-20-1 (pseudogene)
IGHVII-22-1	28374	immunoglobulin heavy variable (II)-22-1 (pseudogene)
IGHVII-26-2	28373	immunoglobulin heavy variable (II)-26-2 (pseudogene)
IGHVII-28-1	28372	immunoglobulin heavy variable (II)-28-1 (pseudogene)
IGHVII-30-1	28371	immunoglobulin heavy variable (II)-30-1 (pseudogene)
IGHVII-30-21	107548099	immunoglobulin heavy variable (II)-30-21 (pseudogene)
IGHVII-31-1	28370	immunoglobulin heavy variable (II)-31-1 (pseudogene)
IGHVII-33-1	28369	immunoglobulin heavy variable (II)-33-1 (pseudogene)
IGHVII-40-1	28368	immunoglobulin heavy variable (II)-40-1 (pseudogene)
IGHVII-43-1	28367	immunoglobulin heavy variable (II)-43-1 (pseudogene)
IGHVII-44-2	28366	immunoglobulin heavy variable (II)-44-2 (pseudogene)
IGHVII-46-1	28365	immunoglobulin heavy variable (II)-46-1 (pseudogene)
IGHVII-49-1	28364	immunoglobulin heavy variable (II)-49-1 (pseudogene)
IGHVII-51-2	28363	immunoglobulin heavy variable (II)-51-2 (pseudogene)
IGHVII-53-1	28362	immunoglobulin heavy variable (II)-53-1 (pseudogene)
IGHVII-60-1	28361	immunoglobulin heavy variable (II)-60-1 (pseudogene)
IGHVII-62-1	28360	immunoglobulin heavy variable (II)-62-1 (pseudogene)
IGHVII-65-1	28359	immunoglobulin heavy variable (II)-65-1 (pseudogene)
IGHVII-67-1	28358	immunoglobulin heavy variable (II)-67-1 (pseudogene)
IGHVII-74-1	28357	immunoglobulin heavy variable (II)-74-1 (pseudogene)
IGHVII-78-1	28356	immunoglobulin heavy variable (II)-78-1 (pseudogene)
IGHVIII-2-1	28355	immunoglobulin heavy variable (III)-2-1 (pseudogene)
IGHVIII-5-1	28354	immunoglobulin heavy variable (III)-5-1 (pseudogene)
IGHVIII-5-2	28353	immunoglobulin heavy variable (III)-5-2 (pseudogene)
IGHVIII-11-1	28352	immunoglobulin heavy variable (III)-11-1 (pseudogene)
IGHVIII-13-1	28351	immunoglobulin heavy variable (III)-13-1 (pseudogene)
IGHVIII-16-1	28350	immunoglobulin heavy variable (III)-16-1 (pseudogene)
IGHVIII-22-2	28349	immunoglobulin heavy variable (III)-22-2 (pseudogene)
IGHVIII-25-1	28348	immunoglobulin heavy variable (III)-25-1 (pseudogene)
IGHVIII-26-1	28347	immunoglobulin heavy variable (III)-26-1 (pseudogene)
IGHVIII-38-1	28346	immunoglobulin heavy variable (III)-38-1 (pseudogene)
IGHVIII-44	28345	immunoglobulin heavy variable (III)-44 (pseudogene)
IGHVIII-47-1	28344	immunoglobulin heavy variable (III)-47-1 (pseudogene)
IGHVIII-51-1	28343	immunoglobulin heavy variable (III)-51-1 (pseudogene)
IGHVIII-67-2	28342	immunoglobulin heavy variable (III)-67-2 (pseudogene)
IGHVIII-67-3	28341	immunoglobulin heavy variable (III)-67-3 (pseudogene)
IGHVIII-67-4	28340	immunoglobulin heavy variable (III)-67-4 (pseudogene)
IGHVIII-76-1	28339	immunoglobulin heavy variable (III)-76-1 (pseudogene)
IGHVIII-82	28338	immunoglobulin heavy variable (III)-82 (pseudogene)
IGHVIV-44-1	28337	immunoglobulin heavy variable (IV)-44-1 (pseudogene)
IGIP	492311	IgA inducing protein
IGK	50802	immunoglobulin kappa locus
IGKC	3514	immunoglobulin kappa constant
IGKDEL	3515	immunoglobulin kappa deleting element or like
IGKJ1	28950	immunoglobulin kappa joining 1
IGKJ2	28949	immunoglobulin kappa joining 2
IGKJ3	28948	immunoglobulin kappa joining 3
IGKJ4	28947	immunoglobulin kappa joining 4
IGKJ5	28946	immunoglobulin kappa joining 5
IGKV1-5	28299	immunoglobulin kappa variable 1-5
IGKV1-6	28943	immunoglobulin kappa variable 1-6
IGKV1-8	28942	immunoglobulin kappa variable 1-8
IGKV1-9	28941	immunoglobulin kappa variable 1-9
IGKV1-12	28940	immunoglobulin kappa variable 1-12
IGKV1-13	28939	immunoglobulin kappa variable 1-13 (gene/pseudogene)
IGKV1-16	28938	immunoglobulin kappa variable 1-16
IGKV1-17	28937	immunoglobulin kappa variable 1-17
IGKV1-22	28936	immunoglobulin kappa variable 1-22 (pseudogene)
IGKV1-27	28935	immunoglobulin kappa variable 1-27
IGKV1-32	28934	immunoglobulin kappa variable 1-32 (pseudogene)
IGKV1-33	28933	immunoglobulin kappa variable 1-33
IGKV1-35	28932	immunoglobulin kappa variable 1-35 (pseudogene)
IGKV1-37	28931	immunoglobulin kappa variable 1-37 (non-functional)
IGKV1-39	28930	immunoglobulin kappa variable 1-39 (gene/pseudogene)
IGKV1D-8	28904	immunoglobulin kappa variable 1D-8
IGKV1D-12	28903	immunoglobulin kappa variable 1D-12
IGKV1D-13	28902	immunoglobulin kappa variable 1D-13
IGKV1D-16	28901	immunoglobulin kappa variable 1D-16
IGKV1D-17	28900	immunoglobulin kappa variable 1D-17
IGKV1D-22	28899	immunoglobulin kappa variable 1D-22 (pseudogene)
IGKV1D-27	28898	immunoglobulin kappa variable 1D-27 (pseudogene)
IGKV1D-32	28897	immunoglobulin kappa variable 1D-32 (pseudogene)
IGKV1D-33	28896	immunoglobulin kappa variable 1D-33
IGKV1D-35	28895	immunoglobulin kappa variable 1D-35 (pseudogene)
IGKV1D-37	28894	immunoglobulin kappa variable 1D-37 (non-functional)
IGKV1D-39	28893	immunoglobulin kappa variable 1D-39
IGKV1D-42	28892	immunoglobulin kappa variable 1D-42 (non-functional)
IGKV1D-43	28891	immunoglobulin kappa variable 1D-43
IGKV1OR-2	3532	immunoglobulin kappa variable 1/OR-2 (pseudogene)
IGKV1OR-3	644731	immunoglobulin kappa variable 1/OR-3 (pseudogene)
IGKV1OR-4	3534	immunoglobulin kappa variable 1/OR-4 (pseudogene)
IGKV1OR1-1	3525	immunoglobulin kappa variable 1/OR1-1 (pseudogene)
IGKV1OR2-0	28867	immunoglobulin kappa variable 1/OR2-0 (non-functional)
IGKV1OR2-1	3531	immunoglobulin kappa variable 1/OR2-1 (pseudogene)
IGKV1OR2-2		immunoglobulin kappa variable 1/OR2-2 (pseudogene)
IGKV1OR2-3	28866	immunoglobulin kappa variable 1/OR2-3 (pseudogene)
IGKV1OR2-6	28865	immunoglobulin kappa variable 1/OR2-6 (pseudogene)
IGKV1OR2-9	28864	immunoglobulin kappa variable 1/OR2-9 (pseudogene)
IGKV1OR2-11	28863	immunoglobulin kappa variable 1/OR2-11 (pseudogene)
IGKV1OR2-108	28862	immunoglobulin kappa variable 1/OR2-108 (non-functional)
IGKV1OR2-118	339562	immunoglobulin kappa variable 1/OR2-118 (pseudogene)
IGKV1OR9-1		immunoglobulin kappa variable 1/OR9-1 (pseudogene)
IGKV1OR9-2		immunoglobulin kappa variable 1/OR9-2 (pseudogene)
IGKV1OR10-1	642424	immunoglobulin kappa variable 1/OR10-1 (pseudogene)
IGKV1OR15-118	100312985	immunoglobulin kappa variable 1/OR15-118 (pseudogene)
IGKV1OR22-1	3530	immunoglobulin kappa variable 1/OR22-1 (pseudogene)
IGKV1OR22-5	28850	immunoglobulin kappa variable 1/OR22-5 (pseudogene)
IGKV1ORY-1	439957	immunoglobulin kappa variable 1/ORY-1 (pseudogene)
IGKV2-4	28929	immunoglobulin kappa variable 2-4 (pseudogene)
IGKV2-10	28928	immunoglobulin kappa variable 2-10 (pseudogene)
IGKV2-14	28927	immunoglobulin kappa variable 2-14 (pseudogene)
IGKV2-18	28926	immunoglobulin kappa variable 2-18 (pseudogene)
IGKV2-19	28925	immunoglobulin kappa variable 2-19 (pseudogene)
IGKV2-23	28924	immunoglobulin kappa variable 2-23 (pseudogene)
IGKV2-24	28923	immunoglobulin kappa variable 2-24
IGKV2-26	28922	immunoglobulin kappa variable 2-26 (pseudogene)
IGKV2-28	28921	immunoglobulin kappa variable 2-28
IGKV2-29	28920	immunoglobulin kappa variable 2-29 (gene/pseudogene)
IGKV2-30	28919	immunoglobulin kappa variable 2-30
IGKV2-36	28918	immunoglobulin kappa variable 2-36 (pseudogene)
IGKV2-38	28917	immunoglobulin kappa variable 2-38 (pseudogene)
IGKV2-40	28916	immunoglobulin kappa variable 2-40
IGKV2D-10	28890	immunoglobulin kappa variable 2D-10 (pseudogene)
IGKV2D-14	28889	immunoglobulin kappa variable 2D-14 (pseudogene)
IGKV2D-18	28888	immunoglobulin kappa variable 2D-18 (pseudogene)
IGKV2D-19	28887	immunoglobulin kappa variable 2D-19 (pseudogene)
IGKV2D-23	28886	immunoglobulin kappa variable 2D-23 (pseudogene)
IGKV2D-24	28885	immunoglobulin kappa variable 2D-24 (non-functional)
IGKV2D-26	28884	immunoglobulin kappa variable 2D-26
IGKV2D-28	28883	immunoglobulin kappa variable 2D-28
IGKV2D-29	28882	immunoglobulin kappa variable 2D-29
IGKV2D-30	28881	immunoglobulin kappa variable 2D-30
IGKV2D-36	28880	immunoglobulin kappa variable 2D-36 (pseudogene)
IGKV2D-38	28879	immunoglobulin kappa variable 2D-38 (pseudogene)
IGKV2D-40	28878	immunoglobulin kappa variable 2D-40
IGKV2OR2-1	28861	immunoglobulin kappa variable 2/OR2-1 (pseudogene)
IGKV2OR2-2	28859	immunoglobulin kappa variable 2/OR2-2 (pseudogene)
IGKV2OR2-4	28858	immunoglobulin kappa variable 2/OR2-4 (pseudogene)
IGKV2OR2-7	652873	immunoglobulin kappa variable 2/OR2-7 (pseudogene)
IGKV2OR2-7D	100310869	immunoglobulin kappa variable 2/OR2-7D (pseudogene)
IGKV2OR2-8	100996600	immunoglobulin kappa variable 2/OR2-8 (pseudogene)
IGKV2OR2-10	28855	immunoglobulin kappa variable 2/OR2-10 (pseudogene)
IGKV2OR22-3	3529	immunoglobulin kappa variable 2/OR22-3 (pseudogene)
IGKV2OR22-4	28847	immunoglobulin kappa variable 2/OR22-4 (pseudogene)
IGKV3-7	28915	immunoglobulin kappa variable 3-7 (non-functional)
IGKV3-11	28914	immunoglobulin kappa variable 3-11
IGKV3-15	28913	immunoglobulin kappa variable 3-15
IGKV3-20	28912	immunoglobulin kappa variable 3-20
IGKV3-25	28911	immunoglobulin kappa variable 3-25 (pseudogene)
IGKV3-31	28910	immunoglobulin kappa variable 3-31 (pseudogene)
IGKV3-34	28909	immunoglobulin kappa variable 3-34 (pseudogene)
IGKV3D-7	28877	immunoglobulin kappa variable 3D-7
IGKV3D-11	28876	immunoglobulin kappa variable 3D-11
IGKV3D-15	28875	immunoglobulin kappa variable 3D-15 (gene/pseudogene)
IGKV3D-20	28874	immunoglobulin kappa variable 3D-20
IGKV3D-25	28873	immunoglobulin kappa variable 3D-25 (pseudogene)
IGKV3D-31	28872	immunoglobulin kappa variable 3D-31 (pseudogene)
IGKV3D-34	28871	immunoglobulin kappa variable 3D-34 (pseudogene)
IGKV3OR2-5	28854	immunoglobulin kappa variable 3/OR2-5 (pseudogene)
IGKV3OR2-268	3523	immunoglobulin kappa variable 3/OR2-268 (non-functional)
IGKV3OR22-2	3527	immunoglobulin kappa variable 3/OR22-2 (pseudogene)
IGKV4-1	28908	immunoglobulin kappa variable 4-1
IGKV5-2	28907	immunoglobulin kappa variable 5-2
IGKV6-21	28906	immunoglobulin kappa variable 6-21 (non-functional)
IGKV6D-21	28870	immunoglobulin kappa variable 6D-21 (non-functional)
IGKV6D-41	28869	immunoglobulin kappa variable 6D-41 (non-functional)
IGKV7-3	28905	immunoglobulin kappa variable 7-3 (pseudogene)
IGL	3535	immunoglobulin lambda locus
IGLC1	3537	immunoglobulin lambda constant 1
IGLC2	3538	immunoglobulin lambda constant 2
IGLC3	3539	immunoglobulin lambda constant 3 (Kern-Oz+ marker)
IGLC4	3540	immunoglobulin lambda constant 4 (pseudogene)
IGLC5	3541	immunoglobulin lambda constant 5 (pseudogene)
IGLC6	3542	immunoglobulin lambda constant 6 (gene/pseudogene)
IGLC7	28834	immunoglobulin lambda constant 7
IGLCOR22-1	84096	immunoglobulin lambda constant/OR22-1 (pseudogene)
IGLCOR22-2	84086	immunoglobulin lambda constant/OR22-2 (pseudogene)
IGLJ1	28833	immunoglobulin lambda joining 1
IGLJ2	28832	immunoglobulin lambda joining 2
IGLJ3	28831	immunoglobulin lambda joining 3
IGLJ4	28830	immunoglobulin lambda joining 4 (non-functional)
IGLJ5	28829	immunoglobulin lambda joining 5 (non-functional)
IGLJ6	28828	immunoglobulin lambda joining 6
IGLJ7	28827	immunoglobulin lambda joining 7
IGLJCOR18	204777	immunoglobulin lambda joining-constant/OR18 (pseudogene)
IGLL1	3543	immunoglobulin lambda like polypeptide 1
IGLL2P	3544	immunoglobulin lambda like polypeptide 2, pseudogene
IGLL3P	91353	immunoglobulin lambda like polypeptide 3, pseudogene
IGLL4P	100287528	immunoglobulin lambda like polypeptide 4, pseudogene
IGLL5	100423062	immunoglobulin lambda like polypeptide 5
IGLON5	402665	IgLON family member 5
IGLP1	7925	immune response to synthetic polypeptides 1
IGLP2	7926	immune response to synthetic polypeptides 2
IGLV1-36	28826	immunoglobulin lambda variable 1-36
IGLV1-40	28825	immunoglobulin lambda variable 1-40
IGLV1-41	28824	immunoglobulin lambda variable 1-41 (pseudogene)
IGLV1-44	28823	immunoglobulin lambda variable 1-44
IGLV1-47	28822	immunoglobulin lambda variable 1-47
IGLV1-50	28821	immunoglobulin lambda variable 1-50 (non-functional)
IGLV1-51	28820	immunoglobulin lambda variable 1-51
IGLV1-62	28819	immunoglobulin lambda variable 1-62 (pseudogene)
IGLV2-5	28818	immunoglobulin lambda variable 2-5 (pseudogene)
IGLV2-8	28817	immunoglobulin lambda variable 2-8
IGLV2-11	28816	immunoglobulin lambda variable 2-11
IGLV2-14	28815	immunoglobulin lambda variable 2-14
IGLV2-18	28814	immunoglobulin lambda variable 2-18
IGLV2-23	28813	immunoglobulin lambda variable 2-23
IGLV2-28	28812	immunoglobulin lambda variable 2-28 (pseudogene)
IGLV2-33	28811	immunoglobulin lambda variable 2-33 (non-functional)
IGLV2-34	28810	immunoglobulin lambda variable 2-34 (pseudogene)
IGLV3-1	28809	immunoglobulin lambda variable 3-1
IGLV3-2	28808	immunoglobulin lambda variable 3-2 (pseudogene)
IGLV3-4	28807	immunoglobulin lambda variable 3-4 (pseudogene)
IGLV3-6	28806	immunoglobulin lambda variable 3-6 (pseudogene)
IGLV3-7	28805	immunoglobulin lambda variable 3-7 (pseudogene)
IGLV3-9	28804	immunoglobulin lambda variable 3-9 (gene/pseudogene)
IGLV3-10	28803	immunoglobulin lambda variable 3-10
IGLV3-12	28802	immunoglobulin lambda variable 3-12
IGLV3-13	28801	immunoglobulin lambda variable 3-13 (pseudogene)
IGLV3-15	28800	immunoglobulin lambda variable 3-15 (pseudogene)
IGLV3-16	28799	immunoglobulin lambda variable 3-16
IGLV3-17	28798	immunoglobulin lambda variable 3-17 (pseudogene)
IGLV3-19	28797	immunoglobulin lambda variable 3-19
IGLV3-21	28796	immunoglobulin lambda variable 3-21
IGLV3-22	28795	immunoglobulin lambda variable 3-22 (gene/pseudogene)
IGLV3-24	28794	immunoglobulin lambda variable 3-24 (pseudogene)
IGLV3-25	28793	immunoglobulin lambda variable 3-25
IGLV3-26	28792	immunoglobulin lambda variable 3-26 (pseudogene)
IGLV3-27	28791	immunoglobulin lambda variable 3-27
IGLV3-29	28790	immunoglobulin lambda variable 3-29 (pseudogene)
IGLV3-30	28789	immunoglobulin lambda variable 3-30 (pseudogene)
IGLV3-31	28788	immunoglobulin lambda variable 3-31 (pseudogene)
IGLV3-32	28787	immunoglobulin lambda variable 3-32 (non-functional)
IGLV4-3	28786	immunoglobulin lambda variable 4-3
IGLV4-60	28785	immunoglobulin lambda variable 4-60
IGLV4-69	28784	immunoglobulin lambda variable 4-69
IGLV5-37	28783	immunoglobulin lambda variable 5-37
IGLV5-39	28782	immunoglobulin lambda variable 5-39
IGLV5-45	28781	immunoglobulin lambda variable 5-45
IGLV5-48	28780	immunoglobulin lambda variable 5-48 (non-functional)
IGLV5-52	28779	immunoglobulin lambda variable 5-52
IGLV6-57	28778	immunoglobulin lambda variable 6-57
IGLV7-35	28777	immunoglobulin lambda variable 7-35 (pseudogene)
IGLV7-43	28776	immunoglobulin lambda variable 7-43
IGLV7-46	28775	immunoglobulin lambda variable 7-46 (gene/pseudogene)
IGLV8-61	28774	immunoglobulin lambda variable 8-61
IGLV8OR8-1	100996586	immunoglobulin lambda variable 8/OR8-1 (pseudogene)
IGLV9-49	28773	immunoglobulin lambda variable 9-49
IGLV10-54	28772	immunoglobulin lambda variable 10-54
IGLV10-67	28771	immunoglobulin lambda variable 10-67 (pseudogene)
IGLV11-55	28770	immunoglobulin lambda variable 11-55 (non-functional)
IGLVI-20	28769	immunoglobulin lambda variable (I)-20 (pseudogene)
IGLVI-38	28768	immunoglobulin lambda variable (I)-38 (pseudogene)
IGLVI-42	28767	immunoglobulin lambda variable (I)-42 (pseudogene)
IGLVI-56	28766	immunoglobulin lambda variable (I)-56 (pseudogene)
IGLVI-63	28765	immunoglobulin lambda variable (I)-63 (pseudogene)
IGLVI-68	28764	immunoglobulin lambda variable (I)-68 (pseudogene)
IGLVI-70	28763	immunoglobulin lambda variable (I)-70 (pseudogene)
IGLVIV-53	28762	immunoglobulin lambda variable (IV)-53 (pseudogene)
IGLVIV-59	28761	immunoglobulin lambda variable (IV)-59 (pseudogene)
IGLVIV-64	28760	immunoglobulin lambda variable (IV)-64 (pseudogene)
IGLVIV-65	28759	immunoglobulin lambda variable (IV)-65 (pseudogene)
IGLVIV-66-1	84097	immunoglobulin lambda variable (IV)-66-1 (pseudogene)
IGLVIVOR22-1	84088	immunoglobulin lambda variable (IV)/OR22-1 (pseudogene)
IGLVIVOR22-2	84087	immunoglobulin lambda variable (IV)/OR22-2 (pseudogene)
IGLVV-58	28758	immunoglobulin lambda variable (V)-58 (pseudogene)
IGLVV-66	28757	immunoglobulin lambda variable (V)-66 (pseudogene)
IGLVVI-22-1	84091	immunoglobulin lambda variable (VI)-22-1 (pseudogene)
IGLVVI-25-1	84090	immunoglobulin lambda variable (VI)-25-1 (pseudogene)
IGLVVII-41-1	84089	immunoglobulin lambda variable (VII)-41-1 (pseudogene)
IGSF1	3547	immunoglobulin superfamily member 1
IGSF3	3321	immunoglobulin superfamily member 3
IGSF5	150084	immunoglobulin superfamily member 5
IGSF6	10261	immunoglobulin superfamily member 6
IGSF8	93185	immunoglobulin superfamily member 8
IGSF9	57549	immunoglobulin superfamily member 9
IGSF9B	22997	immunoglobulin superfamily member 9B
IGSF10	285313	immunoglobulin superfamily member 10
IGSF11	152404	immunoglobulin superfamily member 11
IGSF11-AS1	100506765	IGSF11 antisense RNA 1
IGSF21	84966	immunoglobin superfamily member 21
IGSF21-AS1	105376814	IGSF21 antisense RNA 1
IGSF22	283284	immunoglobulin superfamily member 22
IGSF23	147710	immunoglobulin superfamily member 23
IHG1		iris hypoplasia with glaucoma 1
IHH	3549	Indian hedgehog signaling molecule
IK	3550	IK cytokine
IKBIP	121457	IKBKB interacting protein
IKBKB	3551	inhibitor of nuclear factor kappa B kinase subunit beta
IKBKE	9641	inhibitor of nuclear factor kappa B kinase subunit epsilon
IKBKG	8517	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
IKBKGP1	246210	inhibitor of nuclear factor kappa B kinase subunit gamma pseudogene 1
IKZF1	10320	IKAROS family zinc finger 1
IKZF2	22807	IKAROS family zinc finger 2
IKZF3	22806	IKAROS family zinc finger 3
IKZF4	64375	IKAROS family zinc finger 4
IKZF5	64376	IKAROS family zinc finger 5
IL1A	3552	interleukin 1 alpha
IL1B	3553	interleukin 1 beta
IL1F10	84639	interleukin 1 family member 10
IL1R1	3554	interleukin 1 receptor type 1
IL1R1-AS1		IL1R1 antisense RNA 1
IL1R2	7850	interleukin 1 receptor type 2
IL1RAP	3556	interleukin 1 receptor accessory protein
IL1RAPL1	11141	interleukin 1 receptor accessory protein like 1
IL1RAPL2	26280	interleukin 1 receptor accessory protein like 2
IL1RL1	9173	interleukin 1 receptor like 1
IL1RL2	8808	interleukin 1 receptor like 2
IL1RN	3557	interleukin 1 receptor antagonist
IL2	3558	interleukin 2
IL2RA	3559	interleukin 2 receptor subunit alpha
IL2RB	3560	interleukin 2 receptor subunit beta
IL2RG	3561	interleukin 2 receptor subunit gamma
IL3	3562	interleukin 3
IL3RA	3563	interleukin 3 receptor subunit alpha
IL4	3565	interleukin 4
IL4I1	259307	interleukin 4 induced 1
IL4R	3566	interleukin 4 receptor
IL5	3567	interleukin 5
IL5RA	3568	interleukin 5 receptor subunit alpha
IL6	3569	interleukin 6
IL6R	3570	interleukin 6 receptor
IL6R-AS1		IL6R antisense RNA 1
IL6RP1	157916	interleukin 6 receptor pseudogene 1
IL6ST	3572	interleukin 6 signal transducer
IL6STP1	3573	interleukin 6 signal transducer pseudogene 1
IL7	3574	interleukin 7
IL7R	3575	interleukin 7 receptor
IL9	3578	interleukin 9
IL9R	3581	interleukin 9 receptor
IL9RP1	100128449	interleukin 9 receptor pseudogene 1
IL9RP2	439945	interleukin 9 receptor pseudogene 2
IL9RP3	729486	interleukin 9 receptor pseudogene 3
IL9RP4	100132166	interleukin 9 receptor pseudogene 4
IL10	3586	interleukin 10
IL10RA	3587	interleukin 10 receptor subunit alpha
IL10RB	3588	interleukin 10 receptor subunit beta
IL10RB-DT	100288432	IL10RB divergent transcript
IL11	3589	interleukin 11
IL11RA	3590	interleukin 11 receptor subunit alpha
IL12A	3592	interleukin 12A
IL12A-AS1	101928376	IL12A antisense RNA 1
IL12B	3593	interleukin 12B
IL12RB1	3594	interleukin 12 receptor subunit beta 1
IL12RB2	3595	interleukin 12 receptor subunit beta 2
IL13	3596	interleukin 13
IL13RA1	3597	interleukin 13 receptor subunit alpha 1
IL13RA2	3598	interleukin 13 receptor subunit alpha 2
IL15	3600	interleukin 15
IL15RA	3601	interleukin 15 receptor subunit alpha
IL16	3603	interleukin 16
IL17A	3605	interleukin 17A
IL17B	27190	interleukin 17B
IL17C	27189	interleukin 17C
IL17D	53342	interleukin 17D
IL17F	112744	interleukin 17F
IL17RA	23765	interleukin 17 receptor A
IL17RB	55540	interleukin 17 receptor B
IL17RC	84818	interleukin 17 receptor C
IL17RD	54756	interleukin 17 receptor D
IL17RE	132014	interleukin 17 receptor E
IL17REL	400935	interleukin 17 receptor E like
IL18	3606	interleukin 18
IL18BP	10068	interleukin 18 binding protein
IL18R1	8809	interleukin 18 receptor 1
IL18RAP	8807	interleukin 18 receptor accessory protein
IL19	29949	interleukin 19
IL20	50604	interleukin 20
IL20RA	53832	interleukin 20 receptor subunit alpha
IL20RB	53833	interleukin 20 receptor subunit beta
IL20RB-AS1		IL20RB antisense RNA 1
IL21	59067	interleukin 21
IL21-AS1		IL21 antisense RNA 1
IL21R	50615	interleukin 21 receptor
IL21R-AS1	283888	IL21R antisense RNA 1
IL22	50616	interleukin 22
IL22RA1	58985	interleukin 22 receptor subunit alpha 1
IL22RA2	116379	interleukin 22 receptor subunit alpha 2
IL23A	51561	interleukin 23 subunit alpha
IL23R	149233	interleukin 23 receptor
IL24	11009	interleukin 24
IL25		interleukin 25
IL26	55801	interleukin 26
IL27	246778	interleukin 27
IL27RA	9466	interleukin 27 receptor subunit alpha
IL31	386653	interleukin 31
IL31RA	133396	interleukin 31 receptor A
IL32	9235	interleukin 32
IL33	90865	interleukin 33
IL34	146433	interleukin 34
IL36A	27179	interleukin 36 alpha
IL36B	27177	interleukin 36 beta
IL36G	56300	interleukin 36 gamma
IL36RN	26525	interleukin 36 receptor antagonist
IL37	27178	interleukin 37
ILDR1	286676	immunoglobulin like domain containing receptor 1
ILDR2	387597	immunoglobulin like domain containing receptor 2
ILF2	3608	interleukin enhancer binding factor 2
ILF2P1	100421506	interleukin enhancer binding factor 2 pseudogene 1
ILF2P2	644616	interleukin enhancer binding factor 2 pseudogene 2
ILF3	3609	interleukin enhancer binding factor 3
ILF3-DT	147727	ILF3 divergent transcript
